"Lecture","Kind","Pt","Line","FrameTitle"
"Lecture18_India_Agri_Trade_Policy","vbox","261.68661","1045","Challenges India Must Overcome"
"Lecture18_India_Agri_Trade_Policy","vbox","248.17583","757","The Value Addition Opportunity"
"Lecture18_India_Agri_Trade_Policy","vbox","248.17583","688","Import Profile: India's Agricultural Dependencies"
"Lecture18_India_Agri_Trade_Policy","vbox","232.5359","615","Geographic Distribution: Where India Exports"
"Lecture18_India_Agri_Trade_Policy","vbox","230.8672","1109","Opportunities for India's Agricultural Exports"
"Lecture18_India_Agri_Trade_Policy","vbox","216.89598","1535","Examination Information"
"Lecture12_Forex_Market","vbox","216.45862","1226","Exchange Rates as Agricultural Trade Policy"
"Lecture18_India_Agri_Trade_Policy","vbox","214.76685","1430","Final Thought: Agriculture and India's Development"
"Lecture12_Forex_Market","vbox","213.10738","841","The Forward Exchange Market"
"Lecture09_BoT_BoP","vbox","202.94464","461","National Income Identity Approach to the Current Account"
"Lecture18_India_Agri_Trade_Policy","vbox","201.25606","977","Geographical Indications as Trade Strategy"
"Lecture15_SPS_Codex","vbox","197.5939","840","Case Study 2: Indian Shrimp in the USA"
"Lecture09_BoT_BoP","vbox","191.4243","546","Current and Capital Account Structure"
"Lecture12_Forex_Market","vbox","183.92815","1025","India's Edible Oil Vulnerability"
"Lecture17_Export_Organizations","vbox","181.93239","589","APEDA's Success Metrics: Selected Achievements"
"Lecture06_Terms_of_Trade","vbox","176.56377","389","Offer Curves: Deriving the Equilibrium Terms of Trade"
"Lecture03_Theories_I","vbox","174.31212","1061","Smith vs Mercantilism: A Summary Comparison"
"Lecture17_Export_Organizations","vbox","173.73901","942","Coffee Board and Spices Board"
"Lecture12_Forex_Market","vbox","171.16307","956","INR Depreciation and Agricultural Exports"
"Lecture16_Export_Procedures","vbox","170.58456","1057","Import Procedures: The Mirror Image"
"Lecture18_India_Agri_Trade_Policy","vbox","154.33629","471","India's Agricultural Trade: The Big Picture (FY2024)"
"Lecture09_BoT_BoP","vbox","154.33629","1278","Remittances: India's Largest Single CA Credit"
"Lecture18_India_Agri_Trade_Policy","vbox","154.33629","532","Export Composition: What India Sells to the World"
"Lecture08_Protectionism_II","hbox","153.13911","878","India's Rice Export Ban (2023): Unilateral Market Power"
"Lecture17_Export_Organizations","vbox","152.45598","1021","Export Inspection Council (EIC)"
"Lecture17_Export_Organizations","vbox","152.17921","1128","Farmer Producer Organizations as Export Units"
"Lecture15_SPS_Codex","vbox","150.67413","897","Case Study 3: Basmati Rice and EU Pesticide Limits"
"Lecture15_SPS_Codex","vbox","150.67413","583","Codex Alimentarius: How It Works"
"Lecture14_Agreement_on_Agriculture","vbox","148.00064","1114","Export Restrictions: AoA Article 12"
"Lecture12_Forex_Market","vbox","146.82213","918","Exchange Rate Pass-Through"
"Lecture09_BoT_BoP","vbox","146.6587","861","Marshall-Lerner Condition: When Does Depreciation Help?"
"Lecture11_Foreign_Exchange_I","vbox","145.259","840","Covered vs Uncovered IRP"
"Lecture03_Theories_I","vbox","144.56702","886","Numerical Example: India and Bangladesh"
"Lecture16_Export_Procedures","hbox","140.53027","773","Export Houses: India's Trade Titans"
"Lecture16_Export_Procedures","hbox","140.53027","773","Export Houses: India's Trade Titans"
"Lecture09_BoT_BoP","vbox","139.74898","948","J-Curve: Mechanisms"
"Lecture17_Export_Organizations","vbox","136.81606","1080","NAFED: Price Stabilisation and Export Implications"
"Lecture15_SPS_Codex","vbox","135.03421","986","IPPC and Plant Quarantine: Mangoes to the USA"
"Lecture15_SPS_Codex","vbox","135.03421","657","FSSAI: India's Food Safety Regulator"
"Lecture15_SPS_Codex","vbox","135.03421","369","Opening Case: The MDH-Everest Spice Scandal"
"Lecture15_SPS_Codex","vbox","135.03421","1201","The NTB Dilemma: Safety vs Protectionism"
"Lecture06_Terms_of_Trade","vbox","134.67436","450","India's Agricultural Terms of Trade: Historical Trends"
"Lecture08_Protectionism_II","vbox","134.05644","924","Strategic Trade Policy and Infant Industry Argument"
